source,path,name,suffix,size_bytes,evidence_type,public_safe
repo,outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/data.gov.uk_Veolia_Newhaven_annual_monitoring_report_20260526T135749Z.json,data.gov.uk_Veolia_Newhaven_annual_monitoring_report_20260526T135749Z.json,.json,230,measurement,review_required
repo,outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/GOV.UK_BV8067IL_Newhaven_20260526T135749Z.json,GOV.UK_BV8067IL_Newhaven_20260526T135749Z.json,.json,152861,evidence,review_required
repo,outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/GOV.UK_Veolia_Newhaven_annual_monitoring_report_20260526T135749Z.json,GOV.UK_Veolia_Newhaven_annual_monitoring_report_20260526T135749Z.json,.json,170777,measurement,review_required
repo,outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/GOV.UK_Newhaven_Energy_Recovery_Facility_annual_monitoring_report_20260526T135749Z.json,GOV.UK_Newhaven_Energy_Recovery_Facility_annual_monitoring_report_20260526T135749Z.json,.json,166664,measurement,review_required
repo,outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/data.gov.uk_UK_PRTR_Newhaven_Veolia_waste_incineration_20260526T135749Z.json,data.gov.uk_UK_PRTR_Newhaven_Veolia_waste_incineration_20260526T135749Z.json,.json,230,evidence,review_required
repo,outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/data.gov.uk_incinerator_annual_monitoring_reporting_data.gov.uk_20260526T135749Z.json,data.gov.uk_incinerator_annual_monitoring_reporting_data.gov.uk_20260526T135749Z.json,.json,338600,measurement,review_required
repo,outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/data.gov.uk_BV8067IL_Newhaven_20260526T135749Z.json,data.gov.uk_BV8067IL_Newhaven_20260526T135749Z.json,.json,230,evidence,review_required
repo,outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/GOV.UK_incinerator_annual_monitoring_reporting_data.gov.uk_20260526T135749Z.json,GOV.UK_incinerator_annual_monitoring_reporting_data.gov.uk_20260526T135749Z.json,.json,181034,measurement,review_required
repo,outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/data.gov.uk_Newhaven_Energy_Recovery_Facility_annual_monitoring_report_20260526T135749Z.json,data.gov.uk_Newhaven_Energy_Recovery_Facility_annual_monitoring_report_20260526T135749Z.json,.json,230,measurement,review_required
repo,outputs/10_historical_backfill/week_2024-07-22_2024-07-29/05_weather/raw/openweather_current_newhaven_incinerator_20260526T135749Z.json,openweather_current_newhaven_incinerator_20260526T135749Z.json,.json,509,evidence,review_required
repo,outputs/10_historical_backfill/week_2024-07-22_2024-07-29/03_news_context/raw/gdelt_Newhaven_incinerator_emissions_20260526T135749Z.json,gdelt_Newhaven_incinerator_emissions_20260526T135749Z.json,.json,102,measurement,review_required
repo,outputs/10_historical_backfill/week_2024-07-22_2024-07-29/03_news_context/raw/gdelt_Newhaven_Energy_Recovery_Facility_Veolia_20260526T135749Z.json,gdelt_Newhaven_Energy_Recovery_Facility_Veolia_20260526T135749Z.json,.json,2,evidence,review_required
repo,outputs/10_historical_backfill/week_2024-10-07_2024-10-14/15_optional_sources/serpapi_raw/serpapi_BV8067IL_Newhaven_Environment_Agency_20260527T182937Z.json,serpapi_BV8067IL_Newhaven_Environment_Agency_20260527T182937Z.json,.json,26311,evidence,review_required
repo,outputs/10_historical_backfill/week_2024-10-07_2024-10-14/15_optional_sources/serpapi_raw/serpapi_Veolia_Newhaven_annual_monitoring_report_20260527T182937Z.json,serpapi_Veolia_Newhaven_annual_monitoring_report_20260527T182937Z.json,.json,45305,measurement,review_required
repo,outputs/10_historical_backfill/week_2024-10-07_2024-10-14/15_optional_sources/serpapi_raw/serpapi_Newhaven_Energy_Recovery_Facility_emissions_20260527T182937Z.json,serpapi_Newhaven_Energy_Recovery_Facility_emissions_20260527T182937Z.json,.json,22637,measurement,review_required
repo,outputs/10_historical_backfill/week_2024-10-07_2024-10-14/04_ground_aq_providers/raw/waqi_newhaven_incinerator_20260527T182937Z.json,waqi_newhaven_incinerator_20260527T182937Z.json,.json,1938,evidence,review_required
repo,outputs/10_historical_backfill/week_2024-10-07_2024-10-14/04_ground_aq_providers/raw/openweather_airpollution_newhaven_incinerator_20260527T182937Z.json,openweather_airpollution_newhaven_incinerator_20260527T182937Z.json,.json,188,evidence,review_required
repo,outputs/10_historical_backfill/week_2024-10-07_2024-10-14/04_ground_aq_providers/openaq_raw/openaq_locations_newhaven_incinerator_20260527T182937Z.json,openaq_locations_newhaven_incinerator_20260527T182937Z.json,.json,22004,diagnostic,review_required
repo,outputs/10_historical_backfill/week_2024-10-07_2024-10-14/06_official_filings/raw/GOV.UK_Veolia_Newhaven_annual_monitoring_report_20260527T182937Z.json,GOV.UK_Veolia_Newhaven_annual_monitoring_report_20260527T182937Z.json,.json,170784,measurement,review_required
repo,outputs/10_historical_backfill/week_2024-10-07_2024-10-14/06_official_filings/raw/GOV.UK_BV8067IL_Newhaven_20260527T182937Z.json,GOV.UK_BV8067IL_Newhaven_20260527T182937Z.json,.json,152870,evidence,review_required
repo,outputs/10_historical_backfill/week_2024-10-07_2024-10-14/06_official_filings/raw/data.gov.uk_BV8067IL_Newhaven_20260527T182937Z.json,data.gov.uk_BV8067IL_Newhaven_20260527T182937Z.json,.json,230,evidence,review_required
repo,outputs/10_historical_backfill/week_2024-10-07_2024-10-14/06_official_filings/raw/data.gov.uk_UK_PRTR_Newhaven_Veolia_waste_incineration_20260527T182937Z.json,data.gov.uk_UK_PRTR_Newhaven_Veolia_waste_incineration_20260527T182937Z.json,.json,230,evidence,review_required
repo,outputs/10_historical_backfill/week_2024-10-07_2024-10-14/06_official_filings/raw/data.gov.uk_incinerator_annual_monitoring_reporting_data.gov.uk_20260527T182937Z.json,data.gov.uk_incinerator_annual_monitoring_reporting_data.gov.uk_20260527T182937Z.json,.json,338600,measurement,review_required
repo,outputs/10_historical_backfill/week_2024-10-07_2024-10-14/06_official_filings/raw/data.gov.uk_Veolia_Newhaven_annual_monitoring_report_20260527T182937Z.json,data.gov.uk_Veolia_Newhaven_annual_monitoring_report_20260527T182937Z.json,.json,230,measurement,review_required
repo,outputs/10_historical_backfill/week_2024-10-07_2024-10-14/06_official_filings/raw/GOV.UK_Environment_Agency_Newhaven_energy_recovery_facility_20260527T182937Z.json,GOV.UK_Environment_Agency_Newhaven_energy_recovery_facility_20260527T182937Z.json,.json,185793,evidence,review_required
repo,outputs/10_historical_backfill/week_2024-10-07_2024-10-14/06_official_filings/raw/watch_data.gov.uk_incinerator_search_20260527T182937Z.html,watch_data.gov.uk_incinerator_search_20260527T182937Z.html,.html,68132,evidence,review_required
repo,outputs/10_historical_backfill/week_2024-10-07_2024-10-14/06_official_filings/raw/GOV.UK_Newhaven_Energy_Recovery_Facility_annual_monitoring_report_20260527T182937Z.json,GOV.UK_Newhaven_Energy_Recovery_Facility_annual_monitoring_report_20260527T182937Z.json,.json,165939,measurement,review_required
repo,outputs/10_historical_backfill/week_2024-10-07_2024-10-14/06_official_filings/raw/data.gov.uk_Environment_Agency_Newhaven_energy_recovery_facility_20260527T182937Z.json,data.gov.uk_Environment_Agency_Newhaven_energy_recovery_facility_20260527T182937Z.json,.json,239491,evidence,review_required
repo,outputs/10_historical_backfill/week_2024-10-07_2024-10-14/06_official_filings/raw/data.gov.uk_Newhaven_Energy_Recovery_Facility_annual_monitoring_report_20260527T182937Z.json,data.gov.uk_Newhaven_Energy_Recovery_Facility_annual_monitoring_report_20260527T182937Z.json,.json,230,measurement,review_required
repo,outputs/10_historical_backfill/week_2024-10-07_2024-10-14/06_official_filings/raw/GOV.UK_incinerator_annual_monitoring_reporting_data.gov.uk_20260527T182937Z.json,GOV.UK_incinerator_annual_monitoring_reporting_data.gov.uk_20260527T182937Z.json,.json,183873,measurement,review_required
repo,outputs/10_historical_backfill/week_2024-10-07_2024-10-14/06_official_filings/raw/GOV.UK_UK_PRTR_Newhaven_Veolia_waste_incineration_20260527T182937Z.json,GOV.UK_UK_PRTR_Newhaven_Veolia_waste_incineration_20260527T182937Z.json,.json,214353,evidence,review_required
repo,outputs/10_historical_backfill/week_2024-10-07_2024-10-14/05_weather/raw/openweather_current_newhaven_incinerator_20260527T182937Z.json,openweather_current_newhaven_incinerator_20260527T182937Z.json,.json,509,evidence,review_required
repo,outputs/10_historical_backfill/week_2024-10-07_2024-10-14/03_news_context/raw/gdelt_Newhaven_Energy_Recovery_Facility_Veolia_20260527T182937Z.json,gdelt_Newhaven_Energy_Recovery_Facility_Veolia_20260527T182937Z.json,.json,2,evidence,review_required
repo,outputs/10_historical_backfill/week_2024-10-07_2024-10-14/03_news_context/raw/gdelt_Newhaven_incinerator_emissions_20260527T182937Z.json,gdelt_Newhaven_incinerator_emissions_20260527T182937Z.json,.json,102,measurement,review_required
repo,outputs/10_historical_backfill/week_2024-09-16_2024-09-23/15_optional_sources/serpapi_raw/serpapi_Newhaven_Energy_Recovery_Facility_emissions_20260527T181729Z.json,serpapi_Newhaven_Energy_Recovery_Facility_emissions_20260527T181729Z.json,.json,22637,measurement,review_required
