facility_name,facility_key,operator,control_name,query_role,candidate_location_id,candidate_location_name,candidate_provider,candidate_latitude,candidate_longitude,distance_from_query_km,distance_from_facility_km,distance_from_control_km,pollutants,score,candidate_class,review_status,source_layer,query_method
Crossness Sludge Plant,crossness_sludge,,Crayford,control,227058,Newham - Britannia Gate,,51.503858,0.020574415,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,control,227059,Greenwich - Tunnel Avenue,,51.495057,0.0041074676,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,control,227060,Newham - Hoola Tower,,51.508198,0.015002152,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,control,270712,Lewisham - Laurence House Catford,,51.4447808,-0.0221832,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,control,4619882,Tower Hamlets - Millwall Park,,51.4891342634,-0.0129769309432,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,control,4990521,Dartford - Town Centre,,51.442557781389,0.215950164318913,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,facility,147,Greenwich - Eltham,,51.45258,0.070766,,,,,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Crossness Sludge Plant,crossness_sludge,,Crayford,facility,225708,Barking and Dagenham - Rush Green,,51.563752,0.177891,,,,,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,facility,225727,Barking and Dagenham - Scrattons Farm,,51.529389,0.132857,,,,,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,facility,225740,Dartford - St Clements 2,,51.448823581151,0.279379130223739,,,,,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,facility,225746,Dartford Roadside 2 - Town Centre,,51.4426702340503,0.216185856662181,,,,,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,facility,225747,Greenwich - A206 Burrage Grove,,51.490532,0.074003,,,,,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,facility,225751,Greenwich - Plumstead High Street,,51.486957,0.095111,,,,,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,facility,225769,Greenwich - Fiveways Sidcup Rd A20,,51.4346627060562,0.0642224671704697,,,,,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,facility,225789,Havering - Romford,,51.572976,0.179079,,,,,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,facility,225796,Greenwich - Falconwood,,51.4563,0.085606,,,,,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,facility,225797,Greenwich - Westhorne Avenue,,51.456357,0.040725,,,,,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,facility,225836,Thurrock - London Road (Purfleet),,51.478697,0.255133,,,,,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,facility,426753,Newham - East Ham Town Hall,,51.5330166040173,0.0550002064487128,,,,,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,facility,4990521,Dartford - Town Centre,,51.442557781389,0.215950164318913,,,,,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,control,223804,Broadway Street,,51.45788,0.135353,,,,,43,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,control,146,Southwark - A2 Old Kent Road,,51.4804994936467,-0.0595528932573422,,,,,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Crossness Sludge Plant,crossness_sludge,,Crayford,control,151,Tower Hamlets - Mile End Road,,51.5225294860844,-0.0421550991900347,,,,,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Crossness Sludge Plant,crossness_sludge,,Crayford,control,2395,Thurrock - UKA00272,,51.47706999922149,0.31796900028704406,,,,,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Crossness Sludge Plant,crossness_sludge,,Crayford,facility,2395,Thurrock - UKA00272,,51.47706999922149,0.31796900028704406,,,,,39,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Crossness Sludge Plant,crossness_sludge,,Crayford,control,223714,Haimo Road,,51.455253,0.040655,,,,,37,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Crossness Sludge Plant,crossness_sludge,,Crayford,control,223716,Woolwich Road,,51.481228,0.126787,,,,,37,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Devonport Dockyard,devonport_dockyard,,Saltash,facility,2488,Plymouth Centre - UKA00360,,50.37166999941141,-4.142360999982793,,,,,67,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Devonport Dockyard,devonport_dockyard,,Saltash,facility,3528,Plymouth Tavistock Road - UKA00629,,50.411057999589424,-4.130288000093709,,,,,56,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Devonport Dockyard,devonport_dockyard,,Saltash,control,2488,Plymouth Centre - UKA00360,,50.37166999941141,-4.142360999982793,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Devonport Dockyard,devonport_dockyard,,Saltash,facility,2510,Saltash Callington Road,,50.411463,-4.227678,,,,,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Devonport Dockyard,devonport_dockyard,,Saltash,control,2510,Saltash Callington Road,,50.411463,-4.227678,,,,,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Devonport Dockyard,devonport_dockyard,,Saltash,control,3528,Plymouth Tavistock Road - UKA00629,,50.411057999589424,-4.130288000093709,,,,,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
