facility,facility_key,location,facility_lat,facility_lon,control_site,control_lat,control_lon,query_point_role,query_point_lat,query_point_lon,candidate_source,candidate_status,monitoring_site_name,openaq_location_id,monitoring_site_lat,monitoring_site_lon,distance_query_to_monitor_km,pollutants,monitoring_provider_text,distance_score,pollutant_score,official_hint_score,source_score,relevance_score,review_note
Beddington ERF,beddington_erf,"Sutton, London",51.36,-0.17,Ewell,51.31350876,-0.224624622,facility,51.36,-0.17,OpenAQ v3 locations,candidate_needs_review,Merton - Merton Road,225773,51.4161384794862,-0.192230805042824,6.43,no2;pm10;pm25,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Merton | Europe/London,33,34,0,5,72,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Beddington ERF,beddington_erf,"Sutton, London",51.36,-0.17,Ewell,51.31350876,-0.224624622,facility,51.36,-0.17,OpenAQ v3 locations,candidate_needs_review,Parkside,223690,51.426126,-0.222013,8.191,no;no2;nox;pm25,london stationary | Unknown Research Organization | United Kingdom | Europe/London,30,35,0,5,70,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Beddington ERF,beddington_erf,"Sutton, London",51.36,-0.17,Ewell,51.31350876,-0.224624622,facility,51.36,-0.17,OpenAQ v3 locations,candidate_needs_review,Wandsworth - Tooting High Street,225850,51.429331,-0.166524,7.713,no2;pm10;pm25,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Wandsworth | Europe/London,31,34,0,5,70,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Beddington ERF,beddington_erf,"Sutton, London",51.36,-0.17,Ewell,51.31350876,-0.224624622,facility,51.36,-0.17,OpenAQ v3 locations,candidate_needs_review,Kingston Upon Thames - Tolworth Broadway,225764,51.379312,-0.281259,8.016,no2;pm10;pm25,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Kingston | Europe/London,30,34,0,5,69,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Beddington ERF,beddington_erf,"Sutton, London",51.36,-0.17,Ewell,51.31350876,-0.224624622,facility,51.36,-0.17,OpenAQ v3 locations,candidate_needs_review,Sutton - Wallington,225845,51.3586596124998,-0.149723946604927,1.416,no2;pm10,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Sutton | Europe/London,42,22,0,5,69,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Beddington ERF,beddington_erf,"Sutton, London",51.36,-0.17,Ewell,51.31350876,-0.224624622,control,51.31350876,-0.224624622,OpenAQ v3 locations,candidate_needs_review,Kingston Upon Thames - Tolworth Broadway,225764,51.379312,-0.281259,8.307,no2;pm10;pm25,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Kingston | Europe/London,30,34,0,5,69,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Beddington ERF,beddington_erf,"Sutton, London",51.36,-0.17,Ewell,51.31350876,-0.224624622,facility,51.36,-0.17,OpenAQ v3 locations,candidate_needs_review,Garrett Lane,223794,51.440399,-0.186775,9.015,no;no2;nox;pm25,london stationary | Unknown Research Organization | United Kingdom | Europe/London,28,35,0,5,68,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Beddington ERF,beddington_erf,"Sutton, London",51.36,-0.17,Ewell,51.31350876,-0.224624622,facility,51.36,-0.17,OpenAQ v3 locations,candidate_needs_review,Sutton - Beddington Village,225792,51.3712010773161,-0.131948824988095,2.921,no2;pm10,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Sutton | Europe/London,39,22,0,5,66,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Beddington ERF,beddington_erf,"Sutton, London",51.36,-0.17,Ewell,51.31350876,-0.224624622,facility,51.36,-0.17,OpenAQ v3 locations,candidate_needs_review,London Road,223814,51.410714,-0.296626,10.441,no;no2;nox;pm25,london stationary | Unknown Research Organization | United Kingdom | Europe/London,26,35,0,5,66,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Beddington ERF,beddington_erf,"Sutton, London",51.36,-0.17,Ewell,51.31350876,-0.224624622,control,51.31350876,-0.224624622,OpenAQ v3 locations,candidate_needs_review,Sutton - Beddington Lane north,225832,51.38928690450499,-0.141661524779893,10.208,no2;pm10;pm25,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Sutton | Europe/London,26,34,0,5,65,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Beddington ERF,beddington_erf,"Sutton, London",51.36,-0.17,Ewell,51.31350876,-0.224624622,facility,51.36,-0.17,OpenAQ v3 locations,candidate_needs_review,Roehampton Lane,223770,51.455096,-0.243402,11.736,no;no2;nox;pm25,london stationary | Unknown Research Organization | United Kingdom | Europe/London,23,35,0,5,63,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Beddington ERF,beddington_erf,"Sutton, London",51.36,-0.17,Ewell,51.31350876,-0.224624622,facility,51.36,-0.17,OpenAQ v3 locations,candidate_needs_review,Southwark - South Circular Road,230827,51.442633,-0.077653974,11.201,no2;pm10;pm25,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Southwark | Europe/London,24,34,0,5,63,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Beddington ERF,beddington_erf,"Sutton, London",51.36,-0.17,Ewell,51.31350876,-0.224624622,control,51.31350876,-0.224624622,OpenAQ v3 locations,candidate_needs_review,London Road,223814,51.410714,-0.296626,11.909,no;no2;nox;pm25,london stationary | Unknown Research Organization | United Kingdom | Europe/London,23,35,0,5,63,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Beddington ERF,beddington_erf,"Sutton, London",51.36,-0.17,Ewell,51.31350876,-0.224624622,facility,51.36,-0.17,OpenAQ v3 locations,candidate_needs_review,Stockwell Road,223699,51.466706,-0.117473,12.412,no;no2;nox;pm25,london stationary | Unknown Research Organization | United Kingdom | Europe/London,22,35,0,5,62,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Beddington ERF,beddington_erf,"Sutton, London",51.36,-0.17,Ewell,51.31350876,-0.224624622,facility,51.36,-0.17,OpenAQ v3 locations,candidate_needs_review,Dagnall Street,223717,51.4738,-0.157493,12.684,no;no2;nox;pm25,london stationary | Unknown Research Organization | United Kingdom | Europe/London,22,35,0,5,62,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Beddington ERF,beddington_erf,"Sutton, London",51.36,-0.17,Ewell,51.31350876,-0.224624622,facility,51.36,-0.17,OpenAQ v3 locations,candidate_needs_review,Sutton - Worcester Park,225837,51.377923,-0.240414,5.279,no2;pm10,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Sutton | Europe/London,35,22,0,5,62,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
